,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
10,0x13f69,CUS_0x8031,August,Cruises,19,146-48-0684,Media_Manager,56990.6,,7,7,21,9,"Personal Loan, Home Equity Loan, Mortgage Loan, Not Specified, Home Equity Loan, Payday Loan, Credit-Builder Loan, Home Equity Loan, and Personal Loan",18,21,-3.12,,_,2124.28,36.43808805335533,8 Years and 4 Months,Yes,305.72430259992217,112.30849057279251,High_spent_Large_value_payments,308.48887349395187,Poor
11,0x1b8e7,CUS_0x6f0f,June,Joseph Axs,35,071-03-6872,Mechanic,35076.16,3166.013333333334,2,579,7,1,Personal Loan,12,6,5.97,3.0,Good,487.26,31.655332524661613,18 Years and 10 Months,No,42769.0,50.26273504208375,High_spent_Medium_value_payments,498.5317906025547,Standard
12,0x15aa1,CUS_0x715f,April,Kims,46,#F%$D@*&8,Writer,83823.22,6841.2683333333325,3,5,11,1,Auto Loan,6,9,10.31,0.0,Good,184.71,37.599297084528814,20 Years and 5 Months,No,41.30388915808158,451.54844608298083,Low_spent_Medium_value_payments,471.27449809227096,Poor
13,0x515f,CUS_0xb713,June,Aaronf,29,578-67-3819,Doctor,18002.675,1430.2229166666666,6,3,10,3,"Personal Loan, Debt Consolidation Loan, and Debt Consolidation Loan",27,15,0.94,6.0,Good,698.05,29.97544826473301,28 Years and 3 Months,No,34.03249572465915,32.72897462630361,High_spent_Large_value_payments,316.2608213157039,Good
14,0x5c71,CUS_0x1cc3,August,David Frenchq,56,436-19-3706,Mechanic,154242.48,,1,6,11,3,"Not Specified, Student Loan, and Personal Loan",5,3,8.2,5.0,Good,1449.91,31.452846738682556,,No,201.5609787910971,767.4434904564152,Low_spent_Small_value_payments,623.4495307524877,Poor
15,0x1a8e6,CUS_0x2e53,January,Antonellaz,28,598-59-0908,_______,70883.44,5663.953333333334,4,4,10,3,"Personal Loan, Personal Loan, and Payday Loan",9,9,10.23,2.0,Standard,604.77,31.13185422453189,29 Years and 8 Months,No,97.13399701172608,233.2281391408173,Low_spent_Small_value_payments,526.03319718079,Standard
16,0x1b080,CUS_0x29ac,March,Daniel Basesf,27,708-00-9497,Musician,93131.94,7871.995,2,6,8,4,"Not Specified, Home Equity Loan, Debt Consolidation Loan, and Payday Loan",1,1862,-0.4900000000000002,3.0,Good,1097.18,27.058271583687443,,NM,269.50418923522943,539.8700906472413,Low_spent_Large_value_payments,247.8252201175294,Standard
17,0x25962,CUS_0xbd2e,January,aranid,44,274-13-0638,Teacher,7161.64,758.8033333333334,8,8,29,3,"Student Loan, Debt Consolidation Loan, and Credit-Builder Loan",24,23,8.61,6.0,Bad,2669.02,39.28246165499551,11 Years and 1 Months,Yes,12.427226356549244,64.17551713608331,Low_spent_Small_value_payments,289.2775898407008,Poor
18,0x4207,CUS_0xc163,February,Jason Langeg,19,552-86-7671,Media_Manager,40327.22,3595.601666666667,5,5,7,0,,13,0,7.87,4.0,_,1073.76_,26.188641461727705,21 Years and 6 Months,No,0.0,178.7921752628936,Low_spent_Small_value_payments,470.76799140377307,Standard
19,0x82f2,CUS_0x2af3,January,Carstenn,22,105-65-3952,Mechanic,80442.28,6995.5233333333335,8,7,21,9,"Auto Loan, Home Equity Loan, Payday Loan, Student Loan, Debt Consolidation Loan, Auto Loan, Not Specified, Home Equity Loan, and Credit-Builder Loan",27,20,19.33,10.0,Bad,2738.93,36.32967566702812,0 Years and 9 Months,Yes,374.6506221595608,114.76195954456692,High_spent_Large_value_payments,450.13975162920565,Standard
20,0x1fe0a,CUS_0x5b64,May,Woodallu,-500,941-63-3418,Lawyer,14982.0,1137.5,6,3,17,2,"Debt Consolidation Loan, and Home Equity Loan",27,20,15.66,7.0,Standard,693.77,37.86534401760407,22 Years and 6 Months,Yes,24.569160909979953,__10000__,Low_spent_Small_value_payments,226.0992055977929,Standard
21,0x22aee,CUS_0x2a55,January,Paulp,43,744-66-0475,Lawyer,17276.8,1584.7333333333331,8,5,34,3,"Personal Loan, Personal Loan, and Payday Loan",46,8,15.95,11.0,Standard,1980.0,27.94709929263046,17 Years and 9 Months,Yes,23.89759721451887,97.73808382714128,Low_spent_Small_value_payments,326.8376522916732,Poor
22,0x14722,CUS_0x3c5e,May,Deepa Seetharamanb,24,516-91-0042,Media_Manager,20588.45,1557.7041666666669,6,10,23,4,"Payday Loan, Payday Loan, Not Specified, and Debt Consolidation Loan",18,17,5.12,14.0,_,2160.86,36.67900495450059,6 Years and 0 Months,NM,54.05859209106389,131.6913546711282,Low_spent_Small_value_payments,260.02046990447457,Standard
23,0x108ca,CUS_0x66d9,May,tg,22,289-20-3745,Teacher,36401.36,3231.4466666666667,4,5,33,6,"Not Specified, Student Loan, Auto Loan, Not Specified, Student Loan, and Payday Loan",18,12,7.55,6.0,Standard,2301.93,36.804739879846586,13 Years and 7 Months,Yes,129.33617848470718,42.5334754736783,High_spent_Medium_value_payments,401.27501270828117,Poor
24,0xdad1,CUS_0x69d5,August,Stanley Whiteg,23,322-87-0892,Engineer,40554.44_,3380.536666666667,8,10,24,7_,"Auto Loan, Payday Loan, Debt Consolidation Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, and Student Loan",49,25,29.86,11.0,Bad,2902.77,24.666061732725986,11 Years and 4 Months,Yes,159.93501438028173,331.3444783814876,!@9#%8,136.77417390489728,Poor
25,0x5594,CUS_0x53d1,March,Adlerc,44,226-19-2220,Mechanic,15712.65,1195.3875,10,7,22,9,"Student Loan, Mortgage Loan, Payday Loan, Not Specified, Student Loan, Debt Consolidation Loan, Home Equity Loan, Student Loan, and Payday Loan",23,20,16.94,9.0,Bad,2540.41,30.94631408304361,11 Years and 0 Months,Yes,79.86675873489466,69.94621260059044,High_spent_Small_value_payments,229.72577866451493,Standard
26,0xf2b8,CUS_0xa4ba,July,Foon,39,063-71-0993,Writer,34126.19,2619.849166666667,5,7,10,3,"Auto Loan, Personal Loan, and Auto Loan",8,14,12.51,9.0,Standard,963.43,27.03515425839255,12 Years and 7 Months,Yes,50.647099028062655,28.446577448191064,High_spent_Large_value_payments,422.891240190413,Standard
27,0x64ad,CUS_0x5848,April,Woldej,28,973-59-7321,Developer,73623.22,5919.2683333333325,5,3,5,2,"Personal Loan, and Debt Consolidation Loan",11,10,10.52,4.0,Good,74.48,40.119134568143785,31 Years and 10 Months,No,91.92554900647986,192.66983893474134,Low_spent_Large_value_payments,577.3314453921121,Good
28,0x1ce76,CUS_0x2296,May,Reynoldsy,33,269-53-8294,Developer,75175.46,6492.621666666668,4,1,7,-100,"Student Loan, and Payday Loan",11,6,10.13,4.0,Good,170.62,35.259436564777594,,No,100.3792065414072,546.6120521985716,Low_spent_Medium_value_payments,282.270907926688,Good
29,0x11e4c,CUS_0x66e5,March,Jamesi,-500,932-28-3481,Media_Manager,71892.94,,5,7,18,3,"Debt Consolidation Loan, Mortgage Loan, and Personal Loan",28,11,9.85,7.0,Standard,1025.88,26.665886645073194,15 Years and 1 Months,Yes,149.96290579492484,80.41046272529115,High_spent_Large_value_payments,610.3344648131174,Standard
30,0xfea1,CUS_0x9278,August,,22,424-53-6443,_______,20521.75,1632.145833333333,3,4,16,4,"Payday Loan, Auto Loan, Credit-Builder Loan, and Student Loan",8,9,14.07,6.0,Standard,306.23,38.30999820951976,11 Years and 4 Months,Yes,48.11081429861567,26.962517965294424,!@9#%8,328.14125106942316,Standard
31,0xdd8f,CUS_0x1f74,February,Khettiya Jittapongc,19,588-75-5901,Architect,37539.84,3404.32,1,6,12,0,,8,8,2.34,3.0,_,31.11,30.533441716762663,32 Years and 2 Months,No,0.0,257.0134775928112,Low_spent_Large_value_payments,353.4185224071888,Good
32,0x16105,CUS_0x9ad,August,David Sheppardx,21,692-76-3442,Lawyer,49116.74,4343.0616666666665,4,4,16,387,"Personal Loan, Personal Loan, and Not Specified",23,15,12.07,5.0,Standard,1429.53,41.77764471108416,18 Years and 5 Months,Yes,112.65737938831003,88.47965441120151,High_spent_Medium_value_payments,483.16913286715516,Standard
33,0x79d5,CUS_0x3c69,August,Pete Sweeneyt,42,696-39-5159,Lawyer,17004.68,1572.0566666666666,6,8,21,7,"Home Equity Loan, Personal Loan, Payday Loan, Payday Loan, Not Specified, Credit-Builder Loan, and Credit-Builder Loan",24,13,11.51,12.0,_,2272.07,33.9858898960444,,Yes,55.064722142367366,149.30309888973443,Low_spent_Small_value_payments,242.83784563456487,Standard
34,0x12b78,CUS_0x56d6,March,,36,349-72-1106,Journalist,17943.885,1548.3237499999998,4,3,6,3,"Payday Loan, Payday Loan, and Student Loan",28,16,10.55,8.0,Standard,1490.82,29.76471526930486,17 Years and 3 Months,Yes,35.30356913107998,151.03864456753666,Low_spent_Medium_value_payments,248.49016130138332,Standard
35,0x4153,CUS_0xbc1e,February,Lauren Taram,43,#F%$D@*&8,Entrepreneur,18137.25,1729.4375,7,6,8,7,"Personal Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Debt Consolidation Loan, Mortgage Loan, and Personal Loan",29,7,23.26,6.0,Standard,2234.83_,40.005063683164906,6 Years and 2 Months,Yes,72.05824652731067,25.512974377844,High_spent_Medium_value_payments,325.3725290948454,Standard
36,0x302e,CUS_0x82fa,May,Carrelg,17,146-30-8816,Mechanic,35603.8,2869.9833333333336,6,6,30,7,"Auto Loan, Auto Loan, Home Equity Loan, Home Equity Loan, Personal Loan, Payday Loan, and Personal Loan",48,19,22.12,12.0,Bad,4041.44,28.95843033695171,1 Years and 6 Months,Yes,124.6444928564958,82.61966797737742,High_spent_Medium_value_payments,329.73417249946016,Standard
37,0x214b1,CUS_0xa219,August,Michael Taylorz,38,814-08-0159,Engineer,14698.595,1505.882916666667,8,3,8,7,"Payday Loan, Home Equity Loan, Auto Loan, Home Equity Loan, Debt Consolidation Loan, Not Specified, and Home Equity Loan",15,9,18.14,6.0,_,469.46,25.65164564291505,12 Years and 5 Months,Yes,84.87318656457524,97.37426623415342,Low_spent_Small_value_payments,258.34083886793803,Standard
38,0x23a0,CUS_0x69a9,July,Blamontg,19,399-14-3062,Writer,97640.4,,5,7,6,4,"Auto Loan, Auto Loan, Student Loan, and Credit-Builder Loan",19,12,9.86,4.0,Standard,80.5,31.390305357362553,11 Years and 4 Months,Yes,259.8059368695418,183.93532053596053,High_spent_Large_value_payments,599.7287425944977,Poor
39,0x5850,CUS_0x4333,July,,26,390-87-7365,Developer,116809.0,9812.083333333334,3,1,3,3,"Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",3,6,6.73,3.0,Good,1312.44,32.4871456959018,18 Years and 9 Months,No,191.675705460367,895.5561866675432,Low_spent_Medium_value_payments,173.97644120542338,Good
40,0x1df17,CUS_0x58d7,February,Wahbad,31,480-45-2864,Teacher,68538.88,5562.573333333334,3,3,12,0,,18,15,7.32,3.0,Standard,152.38,32.37965510055911,,No,0.0,125.358887374826,!@9#%8,670.8984459585074,Standard
41,0x256ea,CUS_0xa776,May,avia Meghap,24,872-41-5317,Writer,38856.53,3337.044166666666,3,4,1,3,"Payday Loan, Debt Consolidation Loan, and Payday Loan",6,3,4.43,1.0,Good,1375.65,28.65248512032544,25 Years and 3 Months,No,51.757389551167186,251.48912617230062,Low_spent_Small_value_payments,320.45790094319887,Poor
42,0x10430,CUS_0xa6a7,March,Herbertp,21,778-76-2369,Scientist,17816.75,1657.729166666667,10,7,29,-100,"Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Payday Loan, Personal Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, and Auto Loan",28,25,1.6,12.0,Bad,2422.84,27.503500539612144,15 Years and 11 Months,Yes,68.75110037840645,126.74496830911085,Low_spent_Small_value_payments,260.2768479791493,Poor
43,0x1e5a6,CUS_0x5572,January,Hyunjoo Jina,39,972-53-4211,Scientist,10068.97,840.0808333333333,8,4,7,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",30,16,10.8,4.0,Standard,2192.93,34.943014723457146,14 Years and 9 Months,Yes,23.22225147149348,,Low_spent_Medium_value_payments,310.0394963125084,Standard
44,0x7ba5,CUS_0x2477,April,,26,931-19-6828,Mechanic,45404.4,3821.7,9,8,22,7,"Personal Loan, Payday Loan, Auto Loan, Credit-Builder Loan, Home Equity Loan, Payday Loan, and Auto Loan",55,17,17.83,11.0,Standard,2313.6,33.856111426057,15 Years and 6 Months,Yes,195.24028829542408,48.898917603206655,High_spent_Medium_value_payments,388.03079410136917,Poor
45,0x988f,CUS_0x4cae,February,Carey Gillamm,23,223-47-1067,Writer,77832.74,6234.061666666667,5,4,5,3,"Payday Loan, Not Specified, and Not Specified",20,13,6.01,3.0,Good,454.41,38.423309108182295,24 Years and 8 Months,No,152.73406149921473,__10000__,High_spent_Large_value_payments,599.3692536209558,Poor
46,0x156d7,CUS_0x1de5,June,ann,20,269-18-2158,Accountant,64122.84,5053.57,7,6,29,4,"Home Equity Loan, Credit-Builder Loan, Debt Consolidation Loan, and Mortgage Loan",25,24,11.48,12.0,Bad,1323.21,40.27471957620068,9 Years and 4 Months,Yes,147.0690962890094,148.64095054736958,High_spent_Medium_value_payments,459.646953163621,Poor
47,0x256a2,CUS_0x5665,May,Jessica Toonkelq,35_,868-53-7311,Journalist,14906.67,1117.6279751292866,6,6,10,2_,"Personal Loan, and Home Equity Loan",14,20,13.579999999999998,3.0,Standard,100.3,34.326615569585826,30 Years and 0 Months,Yes,104.1770466032536,106.78252275551478,Low_spent_Small_value_payments,281.65720551194516,Standard
48,0x427f,CUS_0x401c,February,Olesya Dmitracovam,35,272-14-7214,Journalist,71223.92,5713.326666666668,6,10,19,-100,"Debt Consolidation Loan, Credit-Builder Loan, Not Specified, Debt Consolidation Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan",23,26,5.8,10.0,Bad,1917.13,36.09197475973485,6 Years and 0 Months,NM,242.15914693765788,137.28125003596028,High_spent_Large_value_payments,431.89226969304855,Poor
49,0x1c2bc,CUS_0x3bfb,March,,37,110-79-6188,Architect,19718.92,1676.243333333333,10,9,19,6,"Student Loan, Not Specified, Home Equity Loan, Debt Consolidation Loan, Not Specified, and Personal Loan",25,13,12.92,12.0,_,2057.56,26.39852675711863,16 Years and 4 Months,Yes,64.06643998680468,160.4668274340067,Low_spent_Small_value_payments,233.09106591252197,Standard
50,0x38fb,CUS_0x79bd,February,Flitterk,32,419-74-7436,Accountant,21546.93,,5,6,20,1,Personal Loan,33,17,9.41,1.0,Standard,313.06,25.307317029823068,18 Years and 5 Months,No,9.878117784047967,71.20922433307551,Low_spent_Small_value_payments,365.07040788287657,Standard
51,0x225f9,CUS_0x96d3,April,Patrick Vignaln,36,024-19-5740,Teacher,87474.24,7325.52,4,7,20,0,,15,10,6.789999999999999,0.0,Standard,797.03,26.299439309421142,24 Years and 11 Months,No,0.0,77.0869349174423,High_spent_Large_value_payments,895.4650650825577,Standard
52,0x18e03,CUS_0x41f3,June,Cowann,18,375-73-1499,Developer,73047.96,,5,7,15,3,"Personal Loan, Home Equity Loan, and Personal Loan",17,16,10.86,8.0,_,1372.24,35.95751573177161,18 Years and 7 Months,Yes,117.50627625369935,163.38512336061834,High_spent_Medium_value_payments,594.4416003856824,Poor
53,0xd7f0,CUS_0xb3e3,March,Peter Appsp,41,694-38-0048,Teacher,142639.96,11787.663333333332,5,4,16,1,Personal Loan,21,13,4.69,2.0,_,1351.02,33.357022167445564,15 Years and 4 Months,Yes,60.28510486975928,__10000__,!@9#%8,812.0361556595193,Standard
54,0x25e5d,CUS_0x6294,April,Dhanya Skariachanh,28,221-84-2475,Manager,32825.81,2649.4841666666666,2,7,3,-100,"Debt Consolidation Loan, Credit-Builder Loan, Home Equity Loan, and Mortgage Loan",15,5,1.94,2.0,Good,1035.24,33.947935869738075,27 Years and 5 Months,No,64.30557527820918,122.36182955178005,High_spent_Small_value_payments,338.28101183667746,Standard
55,0x8605,CUS_0x652f,August,Jean-Baptiste Veyz,29,#F%$D@*&8,Journalist,69654.0,,6,10,26,6,"Credit-Builder Loan, Home Equity Loan, Not Specified, Not Specified, Student Loan, and Credit-Builder Loan",39,12,22.44,10.0,Bad,3002.69,29.342657722637444,12 Years and 0 Months,Yes,176.77423826015038,135.23012972326495,High_spent_Medium_value_payments,489.3456320165847,Standard
56,0x7a19,CUS_0x53f4,April,Rick Rothackerc,43,372-20-9785,Mechanic,15647.0,1044.9166666666667,10,5,17,6,"Credit-Builder Loan, Student Loan, Personal Loan, Auto Loan, Home Equity Loan, and Payday Loan",47,25,26.89,13.0,Bad,4973.13,29.720423171351342,10 Years and 2 Months,Yes,56.7168815816985,33.987691085506285,High_spent_Medium_value_payments,263.7870939994619,Standard
57,0x21530,CUS_0x9e8c,March,Wilkesm,19,715-55-8872,Teacher,32089.33,2882.1108333333336,4,6,2,4,"Personal Loan, Home Equity Loan, Home Equity Loan, and Not Specified",8,23,1.33,0.0,Good,435.89,31.206972926435014,25 Years and 1 Months,No,71.30685118558694,48.88590221311204,!@9#%8,408.0183299346344,Poor
58,0xc4de,CUS_0x3e47,May,Davet,40,818-53-8754,Doctor,62901.08_,5025.756666666667,4,6,10,3,"Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",8,14,18.58,6.0,Standard,228.25,27.429258402675323,12 Years and 1 Months,Yes,81.6412702885858,175.37634819405312,High_spent_Small_value_payments,505.55804818402777,Standard
59,0x10df5,CUS_0x87f0,August,Jan Schwartzp,43,827-51-8922,Mechanic,44964.22_,3898.018333333333,6,1153,15,3,"Credit-Builder Loan, Student Loan, and Mortgage Loan",27,20,13.04,3.0,_,210.15,36.46915409011741,33 Years and 5 Months,Yes,75.40796961423621,,High_spent_Medium_value_payments,431.31235605581213,Standard
60,0x1acb9,CUS_0x1c76,August,Karolina Tagarisj,16,756-17-9286,Entrepreneur,35075.0,3032.916666666666,6,3,9,5,"Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Payday Loan, and Mortgage Loan",7,7,11.63,7.0,Standard,1435.83,28.485119514584195,10 Years and 2 Months,Yes,144.3830351871895,139.31424764788224,!@9#%8,289.59438383159494,Standard
61,0xff47,CUS_0x12a6,June,Natem,25,191-09-1571,Manager,18158.33,1325.1941666666671,7,9,25,4,"Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Debt Consolidation Loan",28,15,16.52,11.0,_,1401.91,24.56728000970002,17 Years and 6 Months,Yes,39.76786259442177,166.51646209464047,!@9#%8,216.23509197760444,Poor
62,0x24438,CUS_0x30e8,July,Patrick Ruckers,19,978-24-2354,Engineer,18967.13,,6,7,25,9,"Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Not Specified, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",53,15,9.8,11.0,Bad,3213.09,30.46291559613169,0 Years and 8 Months,Yes,74.22059718957314,83.60087834034324,Low_spent_Large_value_payments,285.13794113675027,Standard
63,0xcf07,CUS_0x8da1,February,Sujata Raog,45,360-75-0836,Doctor,15608.695,1366.7245833333334,7,3,12,4,"Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Payday Loan",12,19,12.35,6.0,Standard,488.34,29.13723804778203,19 Years and 6 Months,Yes,26.77782875536048,177.41382872148307,Low_spent_Small_value_payments,222.48080085648982,Standard
64,0x11f91,CUS_0x47fe,April,Egenterq,21,740-19-9586,Teacher,5860495.0,,9,7,16,6,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Student Loan, Personal Loan, and Credit-Builder Loan",51,18_,22.03,8.0,Bad,3988.68,30.316099238491105,13 Years and 4 Months,Yes,25.98910997841871,88.35211785520063,Low_spent_Small_value_payments,242.5036888330473,Standard
65,0x1746c,CUS_0xe3f,July,Koh Guid,15,803-04-3619,Engineer,109370.55,,4,6,5,1,Home Equity Loan,13,11,14.43,5.0,Standard,1387.19,26.464009559573903,16 Years and 3 Months,NM,86.8235854974944,1082.1242120962986,Low_spent_Small_value_payments,24.67345240620705,Good
66,0xfe11,CUS_0x1718,August,Hyunjoo Jinh,43,047-16-1543,Architect,29062.92,2318.91,6,3,8,1,Credit-Builder Loan,27,13,13.94,4.0,Standard,50.19,25.7655096070954,20 Years and 8 Months,Yes,14.516223126712546,150.33909132713754,High_spent_Small_value_payments,327.03568554614986,Poor
67,0xfb91,CUS_0xaf93,April,Timi,51,842-21-5410,Developer,97889.1,8205.425,1,7,9,3,"Payday Loan, Auto Loan, and Mortgage Loan",4,6,9.6,3.0,Good,1334.64,36.7644000009241,18 Years and 1 Months,No,20691.0,284.38500253590763,High_spent_Small_value_payments,663.7136393123874,Poor
68,0xcceb,CUS_0xbc4b,February,Laura Noonanw,8592,121-37-4752,Developer,121622.84,10081.236666666666,0,3,12,2,"Not Specified, and Personal Loan",12,0,15.02,0.0,_,1391.33,40.235661738657114,20 Years and 2 Months,No,173.2882998697942,877.3201925922685,Low_spent_Small_value_payments,247.5151742046039,Good
69,0x219b1,CUS_0xb04,April,,19,053-21-8266,_______,60174.93000000001,4912.5775,9,8,26,5,"Home Equity Loan, Mortgage Loan, Debt Consolidation Loan, Personal Loan, and Personal Loan",29,19,9.18,11.0,_,3015.47,23.87160998169345,0 Years and 7 Months,NM,135.89444021017394,263.25706867752456,Low_spent_Medium_value_payments,372.10624111230146,Poor
70,0x24728,CUS_0xa741,March,Angela Moonu,37,434-48-5834,Engineer,73610.5,6136.208333333332,7,6,5,7,"Credit-Builder Loan, Home Equity Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, and Student Loan",18,8,10.3,8.0,Standard,291.67,37.86408192069009,17 Years and 7 Months,Yes,254.68680567277988,101.21735557333108,High_spent_Large_value_payments,497.71667208722226,Standard
71,0x19662,CUS_0x55fb,January,Ashleyn,41,771-10-8942,Media_Manager,60364.08,5045.34,7,6,24,7,"Student Loan, Debt Consolidation Loan, Not Specified, Mortgage Loan, Payday Loan, Personal Loan, and Auto Loan",16,8,15.47,7.0,Standard,1855.46,31.520456285800787,8 Years and 3 Months,Yes,179.02928286779496,89.69587002224871,High_spent_Medium_value_payments,485.80884710995633,Standard
72,0xda6b,CUS_0x99f7,February,Martinnem,54,090-43-5198,Lawyer,21434.275,1790.1895833333335,1,5,3,3,"Mortgage Loan, Credit-Builder Loan, and Student Loan",5,,4.54,3.0,_,166.49,34.243018338164866,15 Years and 8 Months,No,49.59958594514175,71.07419028835781,High_spent_Medium_value_payments,308.3451820998338,Good
73,0x9ee4,CUS_0x53ad,March,Rick Rothackerg,1692,842-95-1336,Entrepreneur,100268.73,8064.727500000001,7,6,6,4,"Auto Loan, Payday Loan, Credit-Builder Loan, and Personal Loan",9,12,19.83,6.0,Standard,148.15,38.64309485693633,21 Years and 0 Months,NM,263.3897414097784,807.0017145750418,Low_spent_Medium_value_payments,16.081294015179882,Standard
74,0x58de,CUS_0x8cd3,May,Carrick Mollenkampi,21,#F%$D@*&8,Manager,105556.38,8962.365,5,5,10,0,,24,9,15.89,4.0,Standard,770.97,30.915452679094905,17 Years and 2 Months,NM,0.0,206.13403698323518,High_spent_Large_value_payments,930.1024630167647,Standard
75,0x6ee9,CUS_0x2112,August,Leungi,32,#F%$D@*&8,Writer,46586.31,4041.1925,6,4,6,6,"Home Equity Loan, Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Personal Loan, and Home Equity Loan",11,17,17.18,5.0,Standard,1787.16,37.332044267336826,18 Years and 10 Months,Yes,167.21829728582358,243.01281249602886,High_spent_Small_value_payments,253.88814021814758,Standard
